,Continent,Region,Destination,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015,Female_2019,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Male_2019
115,America,South America,Argentina,814574,796469,0,0,954375,1103054,1170240,750396,715656,0,0,813122,938899,997520
116,America,South America,Bolivia (Plurinational State of),24421,27490,30311,0,39098,45501,49630,26330,29802,33020,0,44075,51303,56000
117,America,South America,Brazil,343932,317758,291553,273055,254803,307296,346016,393173,362640,332108,314075,296355,349405,393490
118,America,South America,Chile,36415,53124,69549,119683,169830,309823,456926,38279,49893,61817,105647,149481,272948,409467
119,America,South America,Colombia,49535,50666,51761,50355,56924,63076,563727,51206,52714,54224,53739,63327,71516,572793
120,America,South America,Ecuador,39301,49508,59676,74323,133262,151487,149188,37410,48677,59952,75430,139218,159045,156487
121,America,South America,Falkland Islands (Malvinas),339,328,399,444,592,657,792,458,464,586,607,761,823,997
122,America,South America,French Guiana,27205,31454,35694,41697,47691,54449,60229,33058,34968,36881,40759,44639,49236,54464
123,America,South America,Guyana,1700,2613,3517,4594,5662,6638,6764,1969,3010,4053,5377,6700,7850,8013
124,America,South America,Paraguay,64849,57532,50374,47977,45802,44754,45905,74138,66139,57568,54846,52158,50854,52174
125,America,South America,Peru,24256,24599,28751,33483,42146,55819,348683,24422,24155,28273,33528,49305,82541,413453
126,America,South America,Suriname,4871,5994,7403,8993,10596,11491,12280,5710,7076,8740,10762,12710,13817,14804
127,America,South America,Uruguay,39042,35037,31825,25514,23856,24640,25396,38265,33628,27961,21545,19757,20389,21159
128,America,South America,Venezuela (Bolivarian Republic of),502721,501496,500705,533776,666343,695973,684733,512240,507763,503812,533181,670982,698022,680666
129,Asia,Central Asia,Kazakhstan,1725893,1587197,0,0,0,1659800,1734456,1466367,1349216,0,0,0,1627297,1700493
130,Asia,Central Asia,Kyrgyzstan,354185,294908,222038,0,134647,119267,116867,254535,212123,159103,0,92420,80714,79082
131,Asia,Central Asia,Tajikistan,235667,189346,158297,151849,150864,149363,148796,183848,146086,123586,115515,115876,112893,112481
132,Asia,Central Asia,Turkmenistan,171311,138980,114200,109821,105312,102830,100903,133064,129650,100867,99266,88819,89231,89931
133,Asia,Central Asia,Uzbekistan,888974,813038,756788,697174,620879,586492,584785,688459,620868,568313,550397,519222,507516,506892
134,Asia,Eastern Asia,China,144802,166453,0,0,0,307463,324057,153598,177609,0,0,0,506324,533675
135,Asia,Eastern Asia,"China, Hong Kong SAR",965196,1077570,1189928,0,1612911,1698017,1787933,1035069,1075303,1115536,0,1135800,1108749,1130838
136,Asia,Eastern Asia,"China, Macao SAR",102199,114051,124672,141297,153440,176698,187744,89186,95892,101657,121236,133918,156019,165770
137,Asia,Eastern Asia,Dem People's Republic of Korea,14988,15500,16004,18637,21262,23273,23710,16024,16113,16198,18507,20810,23052,23498
138,Asia,Eastern Asia,Japan,530377,669124,867620,1042977,1121597,1094309,1219720,532351,668165,778076,899883,939721,979298,1090434
139,Asia,Eastern Asia,Mongolia,2972,3094,3273,3604,3996,6309,6704,3071,3559,4095,7202,11515,12895,13700
140,Asia,Eastern Asia,Republic of Korea,17979,50659,96380,192606,376759,479000,487790,23172,67648,136991,271439,501340,612026,622852
141,Asia,South-Eastern Asia,Brunei Darussalam,30984,36528,0,0,0,44107,47493,41416,47342,0,0,0,57600,62032
142,Asia,South-Eastern Asia,Cambodia,16648,44200,71752,0,37195,32874,34946,16034,42280,68527,0,41524,38150,40563
143,Asia,South-Eastern Asia,Indonesia,189025,157263,125510,111637,117017,126732,132348,185926,161707,137489,146749,153336,172565,180225
144,Asia,South-Eastern Asia,Lao People's Democratic Republic,10732,10201,8579,7797,11423,15051,15951,11342,10710,9181,8658,17852,27048,28676
145,Asia,South-Eastern Asia,Malaysia,252505,361877,585927,720582,877612,1206420,1252219,356767,481909,751256,1042882,1364505,1854192,1948052
146,Asia,South-Eastern Asia,Myanmar,54732,45899,40111,33687,30467,28973,30036,65315,53949,45265,38636,36098,34887,36168
147,Asia,South-Eastern Asia,Philippines,58167,79799,111875,89093,71911,72877,75131,68445,90554,116561,95759,79733,81044,83592
148,Asia,South-Eastern Asia,Singapore,234415,434008,683314,857778,1081159,1275024,1081893,211279,359847,535551,668842,838276,986002,834256
149,Asia,South-Eastern Asia,Thailand,245202,383416,610064,1077141,1599113,1735036,1809244,283469,426257,647675,1085904,1624265,1750657,1824954
150,Asia,South-Eastern Asia,Timor-Leste,3986,4395,4861,5040,5049,2923,2882,3906,4175,4466,4890,5113,4439,4386
151,Asia,South-Eastern Asia,Viet Nam,12532,22403,22514,19144,23921,28349,29627,14866,27400,30862,28839,33447,39141,40922
152,Asia,Southern Asia,Afghanistan,22072,24303,0,0,0,178417,55243,28599,31491,0,0,0,185734,56110
153,Asia,Southern Asia,Bangladesh,356914,384179,411453,0,522781,540151,824329,384634,416300,447971,0,577956,597983,1025820
154,Asia,Southern Asia,Bhutan,3988,4686,5383,6835,8287,7080,7374,17994,21142,24290,30339,36421,40109,41803
155,Asia,Southern Asia,India,3504532,3312803,3078733,2847188,2634068,2541447,2497109,3842953,3583300,3280478,3020245,2779510,2670344,2628923
156,Asia,Southern Asia,Iran (Islamic Republic of),498757,362357,235372,49861,50383,50383,49563,667772,485156,315639,67684,86747,85376,83992
157,Asia,Southern Asia,Maldives,3798,8925,11704,17072,11627,6190,6669,4637,8901,14317,25691,39780,53868,58040
158,Asia,Southern Asia,Nepal,290714,451329,456936,425783,378772,347545,336921,120316,200582,223753,218868,177257,149157,141581
159,Asia,Southern Asia,Pakistan,1290261,1085259,967256,920254,893170,723217,671954,1538565,1288476,1141346,1084935,1056700,992332,921994
160,Asia,Southern Asia,Sri Lanka,17430,17432,17412,17368,17290,17930,18048,22505,21768,21061,20429,19771,19717,19873
161,Europe,Eastern Europe,Belarus,676820,642765,0,0,590734,586674,579362,571705,542882,0,0,498905,495450,489265
162,Europe,Eastern Europe,Bulgaria,10899,17288,23620,0,40776,62714,83525,7764,12352,16916,0,32114,58516,79869
163,Europe,Eastern Europe,Czechia,52894,77137,101381,140502,160528,175257,196470,57170,87957,118743,180775,231839,234915,261979
164,Europe,Eastern Europe,Hungary,184900,169728,154491,187432,220344,226034,244458,150860,142724,134581,169634,204679,226492,244366
165,Europe,Eastern Europe,Poland,614292,533419,463291,411476,375593,355056,361589,457805,383615,321187,286490,258170,255654,285241
166,Europe,Eastern Europe,Republic of Moldova,298156,206444,142938,100533,74877,60408,59402,228872,149255,97124,65233,49716,40854,40270
167,Europe,Eastern Europe,Romania,75215,70517,65685,69816,81817,128909,205866,54793,55014,55269,63102,78246,140127,238997
168,Europe,Eastern Europe,Russian Federation,5852121,5990660,5909616,5855982,5678151,5925792,5924389,5638665,5907898,5965130,5794393,5507955,5708674,5707332
169,Europe,Eastern Europe,Slovakia,23044,38713,64898,71633,79018,88263,91585,18062,30310,50712,58026,66274,88197,95099
170,Europe,Eastern Europe,Ukraine,3687588,3290851,2934311,2677457,2551167,2556162,2581706,2791298,2480926,2200832,2014696,1925869,1934862,1954215
171,Europe,Northern Europe,Channel Islands,31989,31397,0,0,39056,41335,42099,28410,27885,0,0,35572,37839,38540
172,Europe,Northern Europe,Denmark,119862,154123,188388,0,252345,296862,356645,113163,145023,176883,0,234813,282237,346975
173,Europe,Northern Europe,Estonia,210008,179219,148430,139219,130202,114597,109570,171347,135958,100569,93967,87552,79916,80471
174,Europe,Northern Europe,Faroe Islands,1779,1271,1584,2027,2274,2548,2955,2351,1516,1833,2338,2563,2638,3089
175,Europe,Northern Europe,Finland,30392,48990,67510,93803,109999,150986,181355,30328,48096,65861,93719,110568,153730,188222
176,Europe,Northern Europe,Iceland,5316,6979,8645,13026,17409,19662,24288,4226,5693,7159,12342,17531,18679,26656
177,Europe,Northern Europe,Ireland,115599,117962,175767,276908,367555,380284,416234,111751,107095,170717,307085,357783,373657,411498
178,Europe,Northern Europe,Isle of Man,17531,18459,19386,20217,20898,18621,18892,15609,16780,17951,19379,20479,18106,18375
179,Europe,Northern Europe,Latvia,355183,303854,252521,221960,189094,161384,143849,290778,234179,177579,154690,124614,103964,93353
180,Europe,Northern Europe,Lithuania,177391,137568,107949,103896,90998,78362,67797,158432,122174,95491,91222,69285,57208,49042
181,Europe,Northern Europe,Norway,89988,111224,139806,176751,248549,344460,401329,95347,110953,135681,166630,255941,372828,431055
182,Europe,Northern Europe,Sweden,368112,440173,474792,533677,654453,782682,923329,344337,405299,431343,484593,613411,756381,922546
183,Europe,Northern Europe,United Kingdom,1868433,2124982,2422938,2992569,3522705,4200160,4757574,1725811,1921815,2144660,2695376,3304058,3836838,4369177
184,Europe,Southern Europe,Albania,31240,33564,0,0,22820,22493,21249,27463,29888,0,0,24119,23773,22462
185,Europe,Southern Europe,Andorra,17698,18624,19551,0,22996,18857,19967,20353,20946,21536,0,25729,20239,21746
186,Europe,Southern Europe,Bosnia and Herzegovina,28628,35672,42719,24386,19772,19656,18238,25914,32578,39240,22132,18069,17965,16615
187,Europe,Southern Europe,Croatia,199120,300048,254650,274810,294937,298161,276093,172363,263417,225185,241608,258024,257308,236763
188,Europe,Southern Europe,Gibraltar,3648,3606,3563,3841,4118,4337,4380,3790,3509,3228,3651,4074,4404,4447
189,Europe,Southern Europe,Greece,266386,320526,385754,413835,459644,454556,443059,284872,304625,323571,347724,387104,343514,328224
190,Europe,Southern Europe,Italy,748912,873658,998410,1929608,2842745,2878721,3061112,596186,703234,810282,1591795,2349675,2328266,2581441
191,Europe,Southern Europe,Malta,7980,9252,11080,12402,15612,23522,37703,6940,8271,10166,11733,16568,26497,43015
192,Europe,Southern Europe,Montenegro,0,0,0,0,45473,41434,40882,0,0,0,0,30642,26558,26347
193,Europe,Southern Europe,North Macedonia,28349,29102,32053,32940,32825,35453,35568,20267,20806,22916,23574,25231,25950,26038
194,Europe,Southern Europe,Portugal,147943,188129,235365,300729,315585,376153,384827,141135,183832,234702,293142,303580,325732,337590
195,Europe,Southern Europe,San Marino,1477,1611,1726,1779,1935,2086,2286,1631,1841,2058,2186,2617,2699,2782
196,Europe,Southern Europe,Serbia,52465,351965,494679,466347,460594,451434,458205,46647,307232,409389,377401,364141,354689,360731
197,Europe,Southern Europe,Slovenia,86732,82330,97498,97100,101267,98378,99911,87570,88228,110253,112899,132001,126470,127899
198,Europe,Southern Europe,Spain,399420,483425,763685,1829004,2879863,2850025,3024727,360260,461205,776271,1972385,3042983,2705655,2733744
199,Europe,Western Europe,Austria,421712,467991,514276,0,661981,769980,896112,363023,417306,471587,0,600813,706958,855142
200,Europe,Western Europe,Belgium,591694,581905,563874,0,709810,827920,909531,631699,624579,585924,0,666192,789027,884605
201,Europe,Western Europe,France,2540424,2666673,2792929,2756797,3116375,3338737,3542052,2536708,2574668,2612626,2605333,2804711,2994228,3161352
202,Europe,Western Europe,Germany,2484601,3386864,4289062,4605040,4862241,5078151,6087845,3064167,3664889,4265616,4524492,4717032,4902944,6629563
203,Europe,Western Europe,Liechtenstein,4930,6203,7442,9266,11136,11786,12605,5947,7047,7947,9258,10549,11206,11978
204,Europe,Western Europe,Luxembourg,57320,63461,70077,75389,81471,122384,141735,55693,61954,68974,74667,81135,125690,147282
205,Europe,Western Europe,Monaco,6143,6106,6075,5820,5651,6951,7094,5422,5475,5539,5329,5191,6501,6630
206,Europe,Western Europe,Netherlands,581813,666447,775840,867880,926417,1017792,1150833,581256,652885,745209,811898,852106,922588,1069896
207,Europe,Western Europe,Switzerland,601800,628722,673973,821387,989300,1144351,1206755,581804,663959,771626,849863,920652,1084206,1153765
208,Oceania,Australia / New Zealand,Australia,1924696,2027719,0,0,2880652,3284221,3699084,1994563,2060681,0,0,2845598,3236409,3615096
209,Oceania,Australia / New Zealand,New Zealand,250277,281713,328998,0,461440,508407,522589,247899,271307,311202,0,433771,476111,489394
210,Oceania,Melanesia,Fiji,5675,5518,0,0,5411,5510,5617,5980,5878,0,0,6216,6465,6601
211,Oceania,Melanesia,New Caledonia,12796,15058,17317,0,21397,24235,25610,16500,18892,21294,0,25842,28470,29894
212,Oceania,Melanesia,Papua New Guinea,13620,12863,9903,11676,11547,11803,11852,18427,18946,15105,17103,17757,18028,18233
213,Oceania,Melanesia,Solomon Islands,1727,1709,1631,1239,937,868,842,2198,2179,2080,1597,1211,1137,1114
214,Oceania,Melanesia,Vanuatu,711,683,673,907,1096,1142,1158,854,768,688,903,1095,1136,1157
215,Oceania,Micronesia,Guam,29203,31708,0,0,35294,35633,37392,37917,37547,0,0,37656,37969,39845
216,Oceania,Micronesia,Kiribati,865,876,888,0,1146,1161,1203,826,870,916,0,1261,1283,1328
217,Oceania,Micronesia,Marshall Islands,395,509,655,838,1073,1145,1149,627,796,1029,1310,1676,1779,1786
218,Oceania,Micronesia,Micronesia (Fed States of),525,406,458,444,431,423,427,698,704,579,534,520,514,526
219,Oceania,Micronesia,Nauru,1199,1106,1016,956,249,389,430,1399,1294,1190,1119,437,715,809
220,Oceania,Micronesia,Northern Mariana Islands,11606,15725,21750,20525,13172,11852,11940,13892,15381,16863,15524,9958,8863,8929
221,Oceania,Micronesia,Palau,960,1861,2295,2312,2230,1896,2141,1735,2707,3419,3056,3111,2904,2785
222,Oceania,Polynesia,American Samoa,9723,10672,0,0,11177,11228,11237,10763,11629,0,0,11814,11716,11728
223,Oceania,Polynesia,Cook Islands,1121,1164,1208,0,1573,1452,1456,1390,1443,1495,0,1527,1402,1407
224,Oceania,Polynesia,French Polynesia,8547,9602,10465,11528,11399,10829,11243,13234,14313,15111,15779,15437,14665,15226
225,Oceania,Polynesia,Niue,190,191,190,200,239,240,240,214,223,232,245,289,289,289
226,Oceania,Polynesia,Samoa,1008,1396,1800,1705,1513,1253,1177,1121,1508,1875,1745,1508,1246,1183
227,Oceania,Polynesia,Tokelau,109,109,113,120,215,245,251,136,134,125,116,180,205,213
228,Oceania,Polynesia,Tonga,416,456,499,575,610,519,490,404,472,540,637,685,590,560
229,Oceania,Polynesia,Tuvalu,112,85,71,67,68,71,73,134,95,65,56,52,54,57
230,Oceania,Polynesia,Wallis and Futuna Islands,664,816,977,1059,793,518,503,711,852,995,1081,806,527,508
